what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1395393439771
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1395393439771
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1395393439772
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1395393439773
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1395393439773
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1395393439774
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1395393439774
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1395393439775
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1395393439776
started,bundle,org.eclipse.mylyn.bugzilla.core,3.8.4.v20130429-0100,"org.eclipse.mylyn.bugzilla.core",1395393439777
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.bugzilla.ui",1395393439777
started,bundle,org.eclipse.mylyn.commons.core,3.8.4.v20130429-0100,"org.eclipse.mylyn.commons.core",1395393439778
started,bundle,org.eclipse.mylyn.commons.net,3.8.4.v20130429-0100,"org.eclipse.mylyn.commons.net",1395393439778
started,bundle,org.eclipse.mylyn.commons.notifications.core,1.0.4.v20130429-0100,"org.eclipse.mylyn.commons.notifications.core",1395393439778
started,bundle,org.eclipse.mylyn.commons.notifications.feed,1.0.4.v20130429-0100,"org.eclipse.mylyn.commons.notifications.feed",1395393439779
started,bundle,org.eclipse.mylyn.commons.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.commons.ui",1395393439779
started,bundle,org.eclipse.mylyn.commons.workbench,3.8.4.v20130429-0100,"org.eclipse.mylyn.commons.workbench",1395393439780
started,bundle,org.eclipse.mylyn.context.core,3.8.4.v20130429-0100,"org.eclipse.mylyn.context.core",1395393439780
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.context.tasks.ui",1395393439781
started,bundle,org.eclipse.mylyn.github.ui,1.3.0.201202151440-r,"org.eclipse.mylyn.github.ui",1395393439781
started,bundle,org.eclipse.mylyn.monitor.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.monitor.ui",1395393439782
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.tasks.ui",1395393439783
started,bundle,org.eclipse.mylyn.team.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.team.ui",1395393439783
os,sysinfo,,,"linux",1395393439788
arch,sysinfo,,,"x86_64",1395393439788
ws,sysinfo,,,"gtk",1395393439788
locale,sysinfo,,,"en_IN",1395393439788
processors,sysinfo,,,"4",1395393439788
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1395393439788
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1395393439788
java.specification.name,sysinfo,,,"Java Platform API Specification",1395393439788
java.specification.vendor,sysinfo,,,"Oracle Corporation",1395393439788
java.specification.version,sysinfo,,,"1.7",1395393439788
java.vendor,sysinfo,,,"Oracle Corporation",1395393439788
java.version,sysinfo,,,"1.7.0_51",1395393439788
java.vm.info,sysinfo,,,"mixed mode",1395393439788
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1395393439788
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1395393439788
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1395393439788
java.vm.specification.version,sysinfo,,,"1.7",1395393439788
java.vm.vendor,sysinfo,,,"Oracle Corporation",1395393439788
java.vm.version,sysinfo,,,"24.51-b03",1395393439788
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1395393440303
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1395393440323
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1395393440351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395393446086
opened,view,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.RepositoriesView",1395393452544
activated,view,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.RepositoriesView",1395393452593
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1395393452596
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1395393452596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395393452661
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1395393452712
activated,view,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.RepositoriesView",1395393456587
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1395393456702
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1395393456708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395393456836
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1395393457967
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.RepositoriesViewAddRepository",1395393481565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395393481620
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395393488846
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.RepositoriesViewPaste",1395393521717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395393521768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395393522211
error,log,,,"Widget is disposed",1395393527567
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395393527669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395393539486
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1395393541830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395393541890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395393545646
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395393553878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395393554929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395393582693
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1395393583504
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1395393583508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395393596527
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1395393598636
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1395393608007
started,bundle,org.eclipse.jst.jee.ui,1.0.401.v201202011107,"org.eclipse.jst.jee.ui",1395393608017
started,bundle,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.ui",1395393608021
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.501.v201107261503,"org.eclipse.jst.j2ee.navigator.ui",1395393608024
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1395393608073
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1395393608077
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1395393608081
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1395393608093
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1395393608115
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1395393608118
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1395393608128
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1395393608151
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1395393608312
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1395393608323
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1395393614992
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1395393615013
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1395393616585
